Designator,Mid X,Mid Y,Rotation,Layer
AE1,126.4,-71.325,180.0,top
C1,152.65,-60.4675,0.0,top
C10,139.6,-63.325,180.0,top
C11,137.6,-60.925,270.0,top
C12,146.5,-69.325,270.0,top
C13,150.5,-69.325,270.0,top
C14,134.81,-71.005,90.0,top
C15,132.4,-71.005,90.0,top
C16,156.8925,-51.025,0.0,top
C17,152.780001,-53.775,0.0,top
C18,152.8425,-46.945,0.0,top
C19,152.8425,-47.945,0.0,top
C2,147.65,-64.325,270.0,top
C20,164.48,-63.575,0.0,top
C21,164.48,-62.575,0.0,top
C22,164.5,-57.325,0.0,top
C23,164.5,-56.325,0.0,top
C24,164.52,-55.325,0.0,top
C25,164.5,-54.325,0.0,top
C26,164.5,-53.325,0.0,top
C27,164.5,-52.325,0.0,top
C28,164.5,-51.325,0.0,top
C29,164.5,-58.325,0.0,top
C3,147.619999,-66.325,270.0,top
C30,164.5,-59.325,180.0,top
C31,156.9,-69.025,180.0,top
C32,160.48,-66.325,0.0,top
C33,143.15,-47.7125,90.0,top
C34,139.3075,-52.005,270.0,top
C35,145.25,-52.005,270.0,top
C4,146.65,-66.325,270.0,top
C5,150.4,-55.575,90.0,top
C6,143.65,-61.467499,180.0,top
C7,143.65,-62.425,180.0,top
C8,149.4,-55.575,90.0,top
C9,149.65,-64.575,270.0,top
D1,161.73,-60.975,270.0,top
D2,159.23,-60.975,90.0,top
D3,160.4,-64.625,180.0,top
D4,145.25,-54.1125,0.0,top
D5,145.25,-55.2025,0.0,top
J1,168.48,-59.925,90.0,top
J2,135.0,-51.025,90.0,top
L1,146.65,-64.325,90.0,top
L2,141.4,-61.64,90.0,top
L3,133.605,-71.325,180.0,top
L4,150.3,-51.025,270.0,top
L5,160.4,-69.025,0.0,top
Q1,164.23,-66.825,270.0,top
R1,150.65,-64.595,90.0,top
R10,138.805,-50.525,0.0,top
R11,164.48,-64.575,0.0,top
R12,147.25,-54.1125,180.0,top
R13,147.25,-55.2125,180.0,top
R14,141.65,-47.7125,270.0,top
R15,145.75,-50.0125,180.0,top
R2,144.14,-59.325,0.0,top
R3,153.13,-58.255,180.0,top
R4,144.15,-58.325,0.0,top
R5,144.15,-57.325,0.0,top
R6,132.15,-58.075,270.0,top
R7,132.15,-62.325,90.0,top
R8,154.725,-53.785,180.0,top
R9,166.2,-67.525,90.0,top
SW1,147.82,-72.425,180.0,top
SW2,154.27,-72.425,180.0,top
TP1,161.4,-47.965,90.0,top
TP2,165.449999,-47.965,90.0,top
TP3,167.9,-72.325,0.0,top
TP4,170.9,-72.325,0.0,top
TP5,173.9,-72.325,0.0,top
TP6,176.9,-72.325,0.0,top
TP7,164.9,-72.325,0.0,top
TP8,179.9,-72.325,0.0,top
U1,148.4,-59.7175,180.0,top
U2,153.7625,-51.025,0.0,top
U3,138.2,-56.425,0.0,top
U5,142.4,-51.275,0.0,top
USB1,128.4,-59.925,270.0,top
Y1,139.5,-61.25,270.0,top
Y2,148.469999,-68.825,180.0,top
